Date,Client,Time (microseconds)
2023-03-31T08:30:34.608Z,100,0
2023-03-31T08:30:35.608Z,100,1767
2023-03-31T08:30:36.609Z,100,2905
2023-03-31T08:30:37.609Z,100,4730
2023-03-31T08:30:38.609Z,100,4776
2023-03-31T08:30:39.610Z,100,3440
2023-03-31T08:30:40.610Z,100,3620
2023-03-31T08:30:41.610Z,100,3850
2023-03-31T08:30:42.610Z,100,3480
2023-03-31T08:30:43.610Z,100,3420
2023-03-31T08:30:44.610Z,100,3780
2023-03-31T08:30:45.610Z,100,3510
2023-03-31T08:30:46.610Z,100,3760
2023-03-31T08:30:47.610Z,100,3750
2023-03-31T08:30:48.610Z,100,4200
2023-03-31T08:30:49.610Z,100,4020
2023-03-31T08:30:50.610Z,100,3960
2023-03-31T08:30:51.611Z,100,4160
2023-03-31T08:30:52.612Z,100,3340
2023-03-31T08:30:53.612Z,100,3190
2023-03-31T08:30:54.612Z,100,3480
2023-03-31T08:30:55.612Z,100,3520
2023-03-31T08:30:56.613Z,100,4140
2023-03-31T08:30:57.613Z,100,3760
2023-03-31T08:30:58.613Z,100,3800
2023-03-31T08:30:59.614Z,100,3370
2023-03-31T08:31:00.614Z,100,3660
2023-03-31T08:31:01.614Z,100,3480
2023-03-31T08:31:02.615Z,100,3820
2023-03-31T08:31:03.615Z,100,3430
2023-03-31T08:31:04.615Z,100,3350
2023-03-31T08:31:05.616Z,100,3370
2023-03-31T08:31:06.616Z,100,3550
2023-03-31T08:31:07.616Z,100,3400
2023-03-31T08:31:08.617Z,100,3280
2023-03-31T08:31:09.617Z,100,3360
2023-03-31T08:31:10.618Z,100,3150
2023-03-31T08:31:11.618Z,100,3400
2023-03-31T08:31:12.618Z,100,3300
2023-03-31T08:31:13.619Z,100,3140
2023-03-31T08:31:14.620Z,100,3090
2023-03-31T08:31:15.620Z,100,3240
2023-03-31T08:31:16.620Z,100,3300
2023-03-31T08:31:17.620Z,100,4170
2023-03-31T08:31:18.620Z,100,4440
2023-03-31T08:31:19.620Z,100,3260
2023-03-31T08:31:20.620Z,100,3910
2023-03-31T08:31:21.620Z,100,3690
2023-03-31T08:31:22.621Z,100,3360
2023-03-31T08:31:23.621Z,100,3360
2023-03-31T08:31:24.621Z,100,3450
2023-03-31T08:31:25.622Z,100,3590
2023-03-31T08:31:26.622Z,100,3320
2023-03-31T08:31:27.622Z,100,3090
2023-03-31T08:31:28.623Z,100,3690
2023-03-31T08:31:29.624Z,100,3640
2023-03-31T08:31:30.626Z,100,3490
2023-03-31T08:31:31.629Z,100,3130
2023-03-31T08:31:32.630Z,100,3060
2023-03-31T08:31:33.630Z,100,3250
2023-03-31T08:31:34.632Z,100,3480
2023-03-31T08:31:35.632Z,100,3190
2023-03-31T08:31:36.633Z,100,3140
2023-03-31T08:31:37.634Z,100,3210
2023-03-31T08:31:38.635Z,100,3030
2023-03-31T08:31:39.636Z,100,3260
2023-03-31T08:31:40.639Z,100,3360
2023-03-31T08:31:41.640Z,100,3560
2023-03-31T08:31:42.643Z,100,3150
2023-03-31T08:31:43.642Z,100,3340
2023-03-31T08:31:44.644Z,100,3400
2023-03-31T08:31:45.647Z,100,2980
2023-03-31T08:31:46.648Z,100,3380
2023-03-31T08:31:47.648Z,100,3220
2023-03-31T08:31:48.648Z,100,3180
2023-03-31T08:31:49.648Z,100,3220
2023-03-31T08:31:50.651Z,100,3170
2023-03-31T08:31:51.652Z,100,3040
2023-03-31T08:31:52.654Z,100,2960
2023-03-31T08:31:53.657Z,100,3180
2023-03-31T08:31:54.657Z,100,3190
2023-03-31T08:31:55.659Z,100,3080
2023-03-31T08:31:56.660Z,100,3100
2023-03-31T08:31:57.663Z,100,2910
2023-03-31T08:31:58.664Z,100,3080
2023-03-31T08:31:59.666Z,100,3210
2023-03-31T08:32:00.668Z,100,3150
2023-03-31T08:32:01.668Z,100,3230
2023-03-31T08:32:02.669Z,100,3420
2023-03-31T08:32:03.672Z,100,2920
2023-03-31T08:32:04.672Z,100,3230
2023-03-31T08:32:05.675Z,100,3050
2023-03-31T08:32:06.676Z,100,3510
2023-03-31T08:32:07.679Z,100,2830
2023-03-31T08:32:08.679Z,100,2810
2023-03-31T08:32:09.680Z,100,3080
2023-03-31T08:32:10.680Z,100,2930
2023-03-31T08:32:11.683Z,100,3180
2023-03-31T08:32:12.684Z,100,2850
2023-03-31T08:32:13.684Z,100,2860
2023-03-31T08:32:14.687Z,100,3360
2023-03-31T08:32:15.688Z,100,2940
2023-03-31T08:32:16.691Z,100,3410
2023-03-31T08:32:17.690Z,100,3480
2023-03-31T08:32:18.692Z,100,2950
2023-03-31T08:32:19.695Z,100,3140
2023-03-31T08:32:20.696Z,100,3130
2023-03-31T08:32:21.697Z,100,2900
2023-03-31T08:32:22.699Z,100,3050
2023-03-31T08:32:23.700Z,100,3380
2023-03-31T08:32:24.703Z,100,3090
2023-03-31T08:32:25.705Z,100,3100
2023-03-31T08:32:26.705Z,100,3070
2023-03-31T08:32:27.707Z,100,2950
2023-03-31T08:32:28.708Z,100,3150
2023-03-31T08:32:29.711Z,100,3050
2023-03-31T08:32:30.712Z,100,3310
2023-03-31T08:32:31.715Z,100,3300
2023-03-31T08:32:32.716Z,100,3760
2023-03-31T08:32:33.717Z,100,2960
2023-03-31T08:32:34.720Z,100,3170
2023-03-31T08:32:35.723Z,100,2760
2023-03-31T08:32:36.724Z,100,3240
2023-03-31T08:32:37.725Z,100,2910
2023-03-31T08:32:38.726Z,100,3050
2023-03-31T08:32:39.726Z,100,3520
2023-03-31T08:32:40.728Z,100,3050
2023-03-31T08:32:41.731Z,100,2930
2023-03-31T08:32:42.732Z,100,3610
2023-03-31T08:32:43.735Z,100,3060
2023-03-31T08:32:44.736Z,100,2880
2023-03-31T08:32:45.736Z,100,3440
2023-03-31T08:32:46.736Z,100,3140
2023-03-31T08:32:47.739Z,100,3140
2023-03-31T08:32:48.740Z,100,2960
2023-03-31T08:32:49.740Z,100,3150
2023-03-31T08:32:50.742Z,100,3370
2023-03-31T08:32:51.744Z,100,3210
2023-03-31T08:32:52.747Z,100,2900
2023-03-31T08:32:53.748Z,100,2970
2023-03-31T08:32:54.748Z,100,3380
2023-03-31T08:32:55.751Z,100,3280
2023-03-31T08:32:56.752Z,100,3000
2023-03-31T08:32:57.755Z,100,2840
2023-03-31T08:32:58.756Z,100,3040
2023-03-31T08:32:59.758Z,100,2880
2023-03-31T08:33:00.760Z,100,2760
2023-03-31T08:33:01.760Z,100,2830
2023-03-31T08:33:02.760Z,100,2880
2023-03-31T08:33:03.760Z,100,3090
2023-03-31T08:33:04.761Z,100,3010
2023-03-31T08:33:05.763Z,100,2600
2023-03-31T08:33:06.764Z,100,2950
2023-03-31T08:33:07.766Z,100,2770
2023-03-31T08:33:08.768Z,100,3170
2023-03-31T08:33:09.771Z,100,2730
2023-03-31T08:33:10.772Z,100,3170
2023-03-31T08:33:11.776Z,100,3120
2023-03-31T08:33:12.776Z,100,3050
2023-03-31T08:33:13.777Z,100,2620
2023-03-31T08:33:14.778Z,100,2620
2023-03-31T08:33:15.780Z,100,2650
2023-03-31T08:33:16.780Z,100,3190
2023-03-31T08:33:17.781Z,100,3510
2023-03-31T08:33:18.782Z,100,3010
2023-03-31T08:33:19.784Z,100,2940
2023-03-31T08:33:20.788Z,100,3170
2023-03-31T08:33:21.788Z,100,2590
2023-03-31T08:33:22.791Z,100,2940
2023-03-31T08:33:23.791Z,100,3050
2023-03-31T08:33:24.793Z,100,2800
2023-03-31T08:33:25.795Z,100,3090
2023-03-31T08:33:26.796Z,100,3430
2023-03-31T08:33:27.799Z,100,3030
2023-03-31T08:33:28.799Z,100,2860
2023-03-31T08:33:29.800Z,100,3060
2023-03-31T08:33:30.801Z,100,3070
2023-03-31T08:33:31.802Z,100,3010
2023-03-31T08:33:32.804Z,100,3080
2023-03-31T08:33:33.805Z,100,2710
2023-03-31T08:33:34.805Z,100,3670
2023-03-31T08:33:35.806Z,100,3320
2023-03-31T08:33:36.808Z,100,2910
2023-03-31T08:33:37.811Z,100,2890
2023-03-31T08:33:38.812Z,100,3220
2023-03-31T08:33:39.816Z,100,2990
2023-03-31T08:33:40.816Z,100,3080
2023-03-31T08:33:41.819Z,100,3310
2023-03-31T08:33:42.820Z,100,3340
2023-03-31T08:33:43.820Z,100,2990
2023-03-31T08:33:44.822Z,100,2830
2023-03-31T08:33:45.822Z,100,2880
2023-03-31T08:33:46.823Z,100,2880
2023-03-31T08:33:47.824Z,100,3170
2023-03-31T08:33:48.824Z,100,3340
2023-03-31T08:33:49.824Z,100,2980
2023-03-31T08:33:50.824Z,100,2710
2023-03-31T08:33:51.825Z,100,3410
2023-03-31T08:33:52.825Z,100,2820
2023-03-31T08:33:53.825Z,100,3000
2023-03-31T08:33:54.826Z,100,3020
2023-03-31T08:33:55.826Z,100,3400
2023-03-31T08:33:56.827Z,100,3020
2023-03-31T08:33:57.827Z,100,3810
2023-03-31T08:33:58.827Z,100,2690
2023-03-31T08:33:59.828Z,100,3050
2023-03-31T08:34:00.829Z,100,3120
2023-03-31T08:34:01.831Z,100,2940
2023-03-31T08:34:02.831Z,100,2730
2023-03-31T08:34:03.832Z,100,3170
2023-03-31T08:34:04.832Z,100,3060
2023-03-31T08:34:05.833Z,100,2910
2023-03-31T08:34:06.834Z,100,3420
2023-03-31T08:34:07.834Z,100,2860
2023-03-31T08:34:08.835Z,100,2820
2023-03-31T08:34:09.836Z,100,3390
2023-03-31T08:34:10.837Z,100,2900
2023-03-31T08:34:11.838Z,100,3090
2023-03-31T08:34:12.838Z,100,2730
2023-03-31T08:34:13.839Z,100,3320
2023-03-31T08:34:14.839Z,100,3090
2023-03-31T08:34:15.839Z,100,3110
2023-03-31T08:34:16.840Z,100,3860
2023-03-31T08:34:17.840Z,100,3930
2023-03-31T08:34:18.840Z,100,3530
2023-03-31T08:34:19.840Z,100,3090
2023-03-31T08:34:20.841Z,100,3910
2023-03-31T08:34:21.842Z,100,3420
2023-03-31T08:34:22.842Z,100,2810
2023-03-31T08:34:23.843Z,100,3180
2023-03-31T08:34:24.844Z,100,2980
2023-03-31T08:34:25.844Z,100,3340
